# collected: 2026-09-23 08:02 KST
# window: 2026-09-22 00:00 ~ 2026-09-23 08:02 KST
# part 1 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-22 22:16 | hlc.com | EU corporate sustainability reporting: simplified ESRS and VESRS finally published following omnibus - hlc.com | google:hlc.com | bgb1
2026-09-22 22:12 | 뉴시스 | 美 루비오 국무 “이란과 만날 의향, 구체적 일정은 안잡혀” - 뉴시스 | google:뉴시스 | sw
2026-09-22 22:10 | 아시아경제 | 백령도 인근 상공 北 추정 항공기 감지…선박 79척 한때 긴급 피항 - 아시아경제 | google:아시아경제 | sw
2026-09-22 22:07 | 아시아경제 | 백악관, 24시간 스트리밍 '트럼프 TV' 개국…언론 취재 차단 논란 속 출범 - 아시아경제 | google:아시아경제 | sw
2026-09-22 21:57 | 헤럴드경제 | [속보] ‘연기 발생’ 2호선 이대역, 운행 재개 직후 스크린도어 장애로 ‘다시 무정차’ - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 21:47 | 뉴시스 | 펜싱 송세라, '마침내 종합대회 에페 개인전 정상' [뉴시스Pic] - 뉴시스 | google:뉴시스 | sw
2026-09-22 21:44 | 아시아경제 | 韓축구 사우디 잡고 2연승…나고야 AG 8강서 베트남 상대 - 아시아경제 | google:아시아경제 | sw
2026-09-22 21:44 | joseilbo.com | 공소청 수사인력 70% 감축…검사 인력은 공판부로 재배치 | http://www.joseilbo.com/news/news_read.php?uid=576243&class=32&grp= | b12?
2026-09-22 21:37 | 경향신문 | 이란 “미국이 압박 완화하면 7일 내 호르무즈 재개방 제안” - 경향신문 | google:경향신문 | sw
2026-09-22 21:31 | 연합뉴스 | 이민성호, 사우디 2-0 제압…조 1위로 8강행·베트남과 격돌 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 21:29 | 경향신문 | 지식이 모여 대만을 키웠다, 자본이 고여 대만을 가른다 - 경향신문 | google:경향신문 | sw
2026-09-22 21:17 | 연합뉴스 | 비슬리 7이닝 무실점 롯데 4연승…류현진 3회 강판 한화 8연패 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 21:13 | 연합뉴스 | [아시안게임] '검객' 송세라 한국 6번째 金…반효진-박하준, 사격 은메달(종합) - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 21:12 | intn.co.kr | 한국회계기준원-한국환경산업기술원, 지속가능성 공시기준 이행지원 세... | http://www.intn.co.kr/news/articleView.html?idxno=2053592 | b19
2026-09-22 21:11 | 아시아경제 | 서울 지하철 2호선 이대역 연기 발생…양방향 열차 무정차 통과 - 아시아경제 | google:아시아경제 | sw
2026-09-22 21:07 | 경향신문 | 신민하·김명준 ‘헤더 두 방’…한국, 사우디 꺾고 조 1위 8강 베트남과 4강행 다퉈 - 경향신문 | google:경향신문 | sw
2026-09-22 21:00 | 경향신문 | 유시민작가님~ 한동훈에게 정치비평 일절 안한다고 맹세하셨잖아요! (260922 화요일 클립) 김규현 이석현 박순봉 - 경향신문 | google:경향신문 | sw
2026-09-22 20:47 | 경향신문 | 전남 끄트머리 소도시에 아이들·관광객 북적이는 까닭 - 경향신문 | google:경향신문 | sw
2026-09-22 20:42 | 아시아경제 | 루비오 미 국무장관 "이란과 대화 가능"…'비핵화' 전제 조건 제시 - 아시아경제 | google:아시아경제 | sw
2026-09-22 20:42 | 경향신문 | ‘양대산맥’ 미·중 빠지니…메아리 없는 22개국 ‘AI 통제’ 선언 - 경향신문 | google:경향신문 | sw
2026-09-22 20:40 | 뉴시스 | 2호선 이대역 승강장서 연기…내·외선 열차 무정차 통과 - 뉴시스 | google:뉴시스 | sw
2026-09-22 20:35 | 연합뉴스 | 백령도 부근 北추정 항공기 움직임 감지…선박 70여척 한때 피항 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 20:35 | sedaily.com | 구자현 “보완수사권 폐지, 검사제도 근간 훼손”…퇴임사서 비판 | https://www.sedaily.com/article/20094235?ref=naver | b15?
