# collected: 2026-09-08 13:02 KST
# window: 2026-09-07 00:00 ~ 2026-09-08 13:02 KST
# part 5 of 5, lines: 196
# format: date | media | title | url | tags

2026-09-07 08:46 | 뉴시스 | 사진으로 보는 지난 주말 [뉴시스Pic] - 뉴시스 | google:뉴시스 | sw
2026-09-07 08:45 | 서울경제 | 국민의힘 신임 대구시당위원장 김승수 의원 - 서울경제 | google:서울경제 | sw
2026-09-07 08:44 | 아주경제 | SK매직, 구독료 50% 할인 등 추석맞이 특별 프로모션 진행 - 아주경제 | google:아주경제 | sw
2026-09-07 08:41 | 뉴시스 | 임영웅, 콘서트 누적관객 100만 명 돌파 - 뉴시스 | google:뉴시스 | sw
2026-09-07 08:40 | thevaluenews.co.kr | [강성기 칼럼] 막내린 '중국 공장' 시대'…초격차 기술로 공급망 주도해... | http://www.thevaluenews.co.kr/news/view.php?idx=201351 | b22
2026-09-07 08:39 | khan.co.kr | [리얼미터]이 대통령 지지율 37.4% 또 최저치…‘부정 평가’가 ‘긍정’보다 22.1%P 높아 - khan.co.kr | google:khan.co.kr | sw
2026-09-07 08:38 | dailian.co.kr | '워킹맘' 용혜인, 정작 '아이돌봄 지원법'은 반대? | https://www.dailian.co.kr/news/view/1687052/?sc=Naver | b15
2026-09-07 08:37 | 대한경제 | 무신사, 재고 의류 자원 순환 ‘무한대 프로젝트’ 완료 - 대한경제 | google:대한경제 | sw
2026-09-07 08:36 | 연합뉴스 | 다올증권 "현대차, 파업 생산차질 5만대…연초 계획 차질" - 연합뉴스 | google:연합뉴스 | sw
2026-09-07 08:35 | 비즈엔터 | 성반빈, 10월 첫 솔로 데뷔 확정 - 비즈엔터 | google:비즈엔터 | sw
2026-09-07 08:31 | 연합뉴스 | 李대통령 지지도 37.4%로 취임 후 최저…민주 41.8%·국힘 37.6%[리얼미터] - 연합뉴스 | google:연합뉴스 | sw
2026-09-07 08:30 | 서울경제 | “현대제철 HPLS, 美서 가장 친환경적인 첨단 제철소 될 것” - 서울경제 | google:서울경제 | sw
2026-09-07 08:27 | biz.heraldcorp.com | 50대 재취업 돕는 제도인데...실제 참여율은 28%, 왜? | https://biz.heraldcorp.com/article/10864266?ref=naver | b6
2026-09-07 08:25 | 스포츠경향 | 리사에 완전히 밀린 지수, 13위-186위 초라해진 성적표 - 스포츠경향 | google:스포츠경향 | sw
2026-09-07 08:23 | 이투데이 | 공공기관 대수술, 성공 방정식은 - 이투데이 | google:이투데이 | sw
2026-09-07 08:22 | 연합뉴스 | 초가을 날씨 이어져…동해안·제주는 흐리고 가끔 비 조금 - 연합뉴스 | google:연합뉴스 | sw
2026-09-07 08:18 | 연합뉴스 | 李대통령 "북미대화 페이스메이커…권력분산 개헌 필요" - 연합뉴스 | google:연합뉴스 | sw
2026-09-07 08:12 | 한국경제 | "삼전닉스 메모리 재고 10일 미만까지 뚝↓…내년 물량 고갈"-KB - 한국경제 | google:한국경제 | sw
2026-09-07 08:10 | 한국경제 | [단독] "전력기기 호황 10년은 더 간다…구조적 성장 국면 진입" - 한국경제 | google:한국경제 | sw
2026-09-07 08:10 | 한국경제 | [단독] LG전자 美자회사 베어로보틱스, 나스닥 상장 도전 - 한국경제 | google:한국경제 | sw
2026-09-07 08:08 | 헤럴드경제 | 쿠팡이츠 손잡은 롯데슈퍼 “주문후 1시간 안에 배송” - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-07 08:08 | 한국경제 | 李대통령 지지율 37.4% '또 최저치'…8주 연속 하락 [리얼미터] - 한국경제 | google:한국경제 | sw
2026-09-07 08:07 | 헤럴드경제 | [속보] 李대통령 지지율 8주 연속 하락해 37.4%[리얼미터] - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-07 08:06 | 헤럴드경제 | 현대百그룹, 추석 앞두고 협력사 결제대금 2738억 조기 지급 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-07 08:04 | 한국경제 | "두산퓨얼셀, 美 데이터센터 연료전지 수주…투자의견·목표가↑"-NH - 한국경제 | google:한국경제 | sw
2026-09-07 08:02 | 매일경제 | 천만 찍고도 독주 ‘오디세이’…33일째 1위·예매율 46% [MK박스오피스] - 매일경제 | google:매일경제 | sw
2026-09-07 08:02 | businesspost.co.kr | [김민정 기자의 '코스뽀'] 제이브이엠 맡은 김상욱 올해도 실적 '신기록... | https://www.businesspost.co.kr/BP?command=article_view&num=446432 | b13,b4
2026-09-07 07:59 | 아시아경제 | 강원도, 지사 직통 ‘상호소통방’ 신설… 직속 신고·제안창구 연다 - 아시아경제 | google:아시아경제 | sw
2026-09-07 07:59 | khan.co.kr | ‘진로 불안’에 탈진한 청년들…실업 청년 절반이상 ‘번아웃’ - khan.co.kr | google:khan.co.kr | sw
2026-09-07 07:58 | hapt.co.kr | 경쟁입찰 늘리면 관리비가 내려간다는 착각 | https://www.hapt.co.kr/news/articleView.html?idxno=169436 | b20
2026-09-07 07:57 | 한국경제 | 李 지지율 8주 연속 내리막…김어준 "이대로면 한 달 내 20%대" - 한국경제 | google:한국경제 | sw
2026-09-07 07:54 | insight.co.kr | '워킹맘' 용혜인, 정작 '아이돌봄 지원법'에는 반대표...왜? | https://www.insight.co.kr/news/572133 | b15
2026-09-07 07:52 | 아시아경제 | 美·이란 압박 받는 한국…"자원 투입 기다려" vs "군사 개입 참전 간주" - 아시아경제 | google:아시아경제 | sw
