# collected: 2026-09-23 08:02 KST
# window: 2026-09-22 00:00 ~ 2026-09-23 08:02 KST
# part 3 of 3, lines: 225
# format: date | media | title | url | tags

2026-09-22 09:26 | 헤럴드경제 | [부고] 정은이(통일연구원 북한연구실장)씨 모친상 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 09:23 | 이투데이 | 코스피·코스닥 동반 상승 랠리...삼전닉스 3% 안팎 강세 - 이투데이 | google:이투데이 | sw
2026-09-22 09:21 | 연합뉴스 | 상어 보러 부산 갔다가 죠스바 샀다…부산 편의점, '상어 특수' - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 09:21 | 한국경제 | "땡큐 메타!"…나스닥 사상 최고치에 삼전닉스 등 반도체株 질주 - 한국경제 | google:한국경제 | sw
2026-09-22 09:20 | 연합뉴스 | [아시안게임] 야구대표팀, 비행기 세리머니 이어 이번엔 金세리머니 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 09:20 | 매일경제 마켓 | [MK 골든크로스 돌파종목 : 엠케이전자(033160) & 오로스테크놀로지(322310)] - 매일경제 마켓 | google:매일경제 마켓 | sw
2026-09-22 09:19 | 헤럴드경제 | ‘소녀시대’ 써니, 친언니 청각장애 고백 “한쪽 귀 안 들려” - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 09:19 | 이투데이 | 롯데월드타워 운영 노하우 외부로…롯데물산, 부동산 서비스 확장 - 이투데이 | google:이투데이 | sw
2026-09-22 09:18 | 이투데이 | [특징주] 삼성전기, MLCC·FC-BGA 공급부족 심화에 6%대 강세 - 이투데이 | google:이투데이 | sw
2026-09-22 09:14 | ajunews.com | 엑소 카이와 한 약속 지켰다…아시안게임서 금메달 딴 해외 팬 - ajunews.com | google:ajunews.com | sw
2026-09-22 09:13 | 연합뉴스 | 유아 대상 학원 '레벨테스트' 못한다…구술·실기·면접 포함 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 09:11 | 이투데이 | [특징주] 이수페타시스, AI 수요·실적 성장 전망에 8%대 강세 - 이투데이 | google:이투데이 | sw
2026-09-22 09:10 | 한국경제 | 李, 뉴욕 도착하자마자 SNS "강남불패, 이제 과거 될 것" - 한국경제 | google:한국경제 | sw
