# collected: 2026-09-18 08:01 KST
# window: 2026-09-17 00:00 ~ 2026-09-18 08:01 KST
# part 2 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-17 15:02 | newdaily.co.kr | '남산 곤돌라' 2심서도 패소한 서울시 … "상고 검토·시행령 개정 촉구... | https://www.newdaily.co.kr/site/data/html/2026/09/17/2026091700244.html | b18?,b5?
2026-09-17 15:02 | 대한경제 | [도시정비시장 풍향계] 롯데건설, 면목9구역 공공재개발 수주 가시화 - 대한경제 | google:대한경제 | sw
2026-09-17 15:01 | 아주경제 | 신한은행, 모두의 AI 카카오 컨소시엄 금융 파트너로 참여 - 아주경제 | google:아주경제 | sw
2026-09-17 15:01 | 경향신문 | 북한, 베이징 한복판에서 핵보유국 지위 주장…“한반도 긴장 원인은 한미일 핵동맹” - 경향신문 | google:경향신문 | sw
2026-09-17 15:00 | 서울경제 | 김상호 교수, 한국인 최초 대만 ‘홍도상’ 수상 - 서울경제 | google:서울경제 | sw
2026-09-17 15:00 | 연합뉴스 | 행안부, 추석 앞두고 태풍 대응 등 안전관리 실태점검 - 연합뉴스 | google:연합뉴스 | sw
2026-09-17 15:00 | 경향신문 | 아이들 쓰는 ‘교육용 태블릿’인데 650억원 규모 입찰 담합···공정위, 4개 업체 제재 절차 착수 - 경향신문 | google:경향신문 | sw
2026-09-17 14:59 | 대한경제 | 보고바이오, 고객만족 브랜드대상 5년 연속 수상 - 대한경제 | google:대한경제 | sw
2026-09-17 14:58 | 헤럴드경제 | 음악 크게 듣던 30대 男, ‘이어폰 사용’ 요청한 중학생들 장난감 칼로 위협 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-17 14:58 | newsian.co.kr | [단독] 노동부, 삼성전자 초기업 최승호 'DX 배제 총회 규약' 조사 본격... | http://www.newsian.co.kr/news/articleView.html?idxno=95577 | b21?
2026-09-17 14:58 | 경향신문 | 함양 대형산불 낸 ‘봉대산 불다람쥐’ 60대, 징역 12년 선고 - 경향신문 | google:경향신문 | sw
2026-09-17 14:58 | 경향신문 | 산불로 10년 복역했는데 또···함양 대형산불 낸 연쇄방화범 ‘봉대산 불다람쥐’, 징역 12년 선고 - 경향신문 | google:경향신문 | sw
2026-09-17 14:56 | 연합뉴스 | 김성수 대법관 후보자 임명동의안, 국회 본회의 통과 - 연합뉴스 | google:연합뉴스 | sw
2026-09-17 14:56 | newsis.com | 서울시 "남산 곤돌라 소송 2심 패소 유감…상고 검토" | https://www.newsis.com/view/NISX20260917_0003794018 | b18?,b5?
2026-09-17 14:56 | ajunews.com | '남산 곤돌라 사업' 2심도 패소...서울시 "상고 검토·녹지법 시행령 개... | https://www.ajunews.com/view/20260917145105390 | b18?,b5?
2026-09-17 14:55 | 헤럴드경제 | [속보] 김성수 대법관 후보자 임명동의안, 국회 본회의 통과 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-17 14:54 | 아주경제 | IBK기업은행, 취약 미혼·한부모가정에 16억원 지원 - 아주경제 | google:아주경제 | sw
2026-09-17 14:54 | 이투데이 | 홈플러스 '67개점 통매각' 재시동… 상품·가격 경쟁력 회복 관건 - 이투데이 | google:이투데이 | sw
2026-09-17 14:53 | 서울경제 | [속보] 국회, 김성수 대법관 후보자 임명동의안 의결 - 서울경제 | google:서울경제 | sw
2026-09-17 14:52 | 대한경제 | 행안부 “중수청장 후보자, 친윤검사 아니다”…與 일각 사퇴 요구 일축 - 대한경제 | google:대한경제 | sw
2026-09-17 14:46 | 헤럴드경제 | ‘아역 출신’ 김유정 “스무살 되기 싫어 울었다…성인 되는 게 무서워서” - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-17 14:46 | 아시아경제 | "남산 곤돌라 용도변경 위법"…서울시, 케이블카 업체 상대 2심도 패소 - 아시아경제 | google:아시아경제 | sw
2026-09-17 14:46 | ttlnews.com | 서울시, '남산 곤돌라' 패소에 대법원 상고·법령 개정 '투트랙' 전격 배... | http://www.ttlnews.com/news/articleView.html?idxno=3144717 | b18?,b5?
2026-09-17 14:44 | 연합뉴스 | 한병도 "국힘, 국감서 대기업 총수 증인 추진…망신주기엔 불응" - 연합뉴스 | google:연합뉴스 | sw
2026-09-17 14:42 | 뉴시스 | '일본에 태극기 꽂겠다' 한국 선수단 본단 122명 '결전지' 입성[나고야AG] - 뉴시스 | google:뉴시스 | sw
2026-09-17 14:42 | mk.co.kr | MK Pick / SK쉴더스, ‘희망의 RED PACK’ 헌혈 캠페인으로 혈액 수급 안정화·ESG 실천 - mk.co.kr | google:mk.co.kr | sw
2026-09-17 14:42 | ESG경제 | 11차 전기본 대안 분석…“설비 확대만으론 온실가스 감축 한계” - ESG경제 | google:ESG경제 | sw
2026-09-17 14:41 | biz.heraldcorp.com | ‘남산 곤돌라’ 2심 패소한 서울시 “시민 불편 방치하는 판결” | https://biz.heraldcorp.com/article/10877198?ref=naver | b18?,b5?
2026-09-17 14:40 | ESG경제 | 韓 경제 규모 커졌지만 국민 체감은 ‘냉랭’…경제 긍정평가 19.5% - ESG경제 | google:ESG경제 | sw
